year,aveCommuteDistByRegion,minutes
2011,5,12.229575
2011,8,15.383081
2011,14,20.187178
2011,11,19.194475
2011,4,13.845711
2011,13,16.204329
2011,12,15.259388
2011,2,14.345238
2011,3,16.589329
2011,1,13.934388
2011,10,15.097391
2011,6,19.01023
2011,7,16.86273
2011,9,17.678097
2012,5,15.294365
2012,8,17.33218
2012,14,21.771948
2012,11,20.362772
2012,4,16.07675
2012,13,18.492828
2012,12,17.82456
2012,2,16.059189
2012,3,18.443533
2012,1,14.816258
2012,10,17.266708
2012,6,20.887722
2012,7,20.563208
2012,9,19.428381
2013,5,17.525797
2013,8,18.877937
2013,14,23.292147
2013,11,21.181705
2013,4,17.661283
2013,13,20.094915
2013,12,19.494463
2013,2,17.45278
2013,3,19.72752
2013,1,15.5821
2013,10,18.556162
2013,6,22.24147
2013,7,23.108593
2013,9,20.655954
2014,5,19.286362
2014,8,20.103254
2014,14,24.500696
2014,11,21.786203
2014,4,19.020523
2014,13,21.613167
2014,12,20.83732
2014,2,18.600542
2014,3,20.766424
2014,1,16.26659
2014,10,19.649239
2014,6,23.282051
2014,7,25.252182
2014,9,21.606981
2015,5,20.835495
2015,8,21.350657
2015,14,25.309614
2015,11,22.31108
2015,4,20.057013
2015,13,22.56918
2015,12,22.013594
2015,2,19.59083
2015,3,21.581846
2015,1,16.910278
2015,10,20.658066
2015,6,24.133183
2015,7,27.176586
2015,9,22.41973
2016,5,22.648
2016,8,22.727644
2016,14,26.175507
2016,11,22.933075
2016,4,21.318329
2016,13,23.674616
2016,12,23.338463
2016,2,20.608126
2016,3,22.469797
2016,1,17.644686
2016,10,21.381157
2016,6,25.155287
2016,7,29.336494
2016,9,23.225374
2017,5,24.286434
2017,8,23.999252
2017,14,26.927858
2017,11,23.257113
2017,4,22.222776
2017,13,24.480005
2017,12,24.02647
2017,2,21.438845
2017,3,23.127338
2017,1,18.293459
2017,10,21.8931
2017,6,25.781061
2017,7,30.833698
2017,9,23.815912
2018,5,25.527836
2018,8,25.185453
2018,14,27.505978
2018,11,23.625744
2018,4,23.014368
2018,13,25.151148
2018,12,24.668158
2018,2,22.187397
2018,3,23.737818
2018,1,18.90185
2018,10,22.447393
2018,6,26.329187
2018,7,32.048004
2018,9,24.166729
2019,5,26.625866
2019,8,26.23867
2019,14,27.95511
2019,11,23.885023
2019,4,23.667633
2019,13,25.672577
2019,12,25.269972
2019,2,22.866945
2019,3,24.207306
2019,1,19.481224
2019,10,22.87411
2019,6,26.807259
2019,7,33.257015
2019,9,24.504929
2020,5,12.31208
2020,8,15.445051
2020,14,19.962767
2020,11,19.026087
2020,4,13.761091
2020,13,16.304356
2020,12,14.817864
2020,2,14.30088
2020,3,16.643991
2020,1,13.903844
2020,10,14.9919405
2020,6,18.906725
2020,7,16.728127
2020,9,17.771185
2021,5,15.27108
2021,8,17.52922
2021,14,21.552006
2021,11,20.367926
2021,4,16.023867
2021,13,18.460066
2021,12,17.619995
2021,2,15.966915
2021,3,18.498968
2021,1,14.807164
2021,10,17.041399
2021,6,20.74705
2021,7,20.61565
2021,9,19.425686
2022,5,17.516777
2022,8,19.141356
2022,14,23.044983
2022,11,21.096169
2022,4,17.621067
2022,13,20.046965
2022,12,19.396614
2022,2,17.33739
2022,3,19.658169
2022,1,15.581484
2022,10,18.551558
2022,6,22.060703
2022,7,23.315798
2022,9,20.516747
2023,5,19.356129
2023,8,20.452675
2023,14,24.483814
2023,11,21.709005
2023,4,19.018036
2023,13,21.279203
2023,12,20.81995
2023,2,18.476341
2023,3,20.723677
2023,1,16.291527
2023,10,19.685944
2023,6,23.115599
2023,7,25.605532
2023,9,21.560013
2024,5,20.981562
2024,8,21.673607
2024,14,25.084229
2024,11,22.306767
2024,4,20.158188
2024,13,22.18365
2024,12,21.806545
2024,2,19.4603
2024,3,21.513006
2024,1,16.912685
2024,10,20.6506
2024,6,23.988052
2024,7,27.368294
2024,9,22.337349
2025,5,22.642797
2025,8,22.83362
2025,14,25.81288
2025,11,22.865898
2025,4,21.438677
2025,13,23.373823
2025,12,22.903856
2025,2,20.461151
2025,3,22.408964
2025,1,17.64509
2025,10,21.497759
2025,6,24.903921
2025,7,29.342594
2025,9,22.99904
2026,5,24.197464
2026,8,24.22638
2026,14,26.748522
2026,11,23.281956
2026,4,22.279408
2026,13,24.155947
2026,12,23.78718
2026,2,21.357334
2026,3,23.127157
2026,1,18.298536
2026,10,21.968864
2026,6,25.60434
2026,7,30.922794
2026,9,23.568771
2027,5,25.554934
2027,8,25.472033
2027,14,27.312307
2027,11,23.61757
2027,4,22.941536
2027,13,24.850452
2027,12,24.548853
2027,2,22.143791
2027,3,23.767653
2027,1,18.892649
2027,10,22.3919
2027,6,26.224394
2027,7,32.1598
2027,9,24.088867
2028,5,26.643747
2028,8,26.303663
2028,14,27.886877
2028,11,23.856113
2028,4,23.437016
2028,13,25.423227
2028,12,25.04497
2028,2,22.789999
2028,3,24.271679
2028,1,19.442131
2028,10,22.957022
2028,6,26.784784
2028,7,33.30243
2028,9,24.51355
2029,5,27.753277
2029,8,27.184502
2029,14,28.258638
2029,11,24.12008
2029,4,23.913849
2029,13,25.914421
2029,12,25.55449
2029,2,23.489359
2029,3,24.74395
2029,1,19.968643
2029,10,23.353525
2029,6,27.198395
2029,7,34.096832
2029,9,24.89652
