year,size
2011,2.0876740244157923
2012,2.0930491037077146
2013,2.0994962575063325
2014,2.1022898164174446
2015,2.1039367407142118
2016,2.104480693784844
2017,2.104070581645038
2018,2.10539240765374
2019,2.106689638563145
2020,2.104200070031883
2021,2.103605793485539
2022,2.1022236821694817
2023,2.1017648073971134
2024,2.097931258574626
2025,2.093613321861332
2026,2.08988864142539
2027,2.0880214007954434
2028,2.0845702420440446
2029,2.0797421698953658
2030,2.077034062562471
2031,2.0749788293037
2032,2.0732797140303845
2033,2.0703877901170284
2034,2.068066692121675
2035,2.0682687840520337
2036,2.0668458630827384
2037,2.0623811271647368
2038,2.058470714936625
2039,2.0554883219310596
2040,2.052831548262422
2041,2.049854780054834
2042,2.0467287453319756
2043,2.0435030884056107
2044,2.0415673921038744
2045,2.0402232593640925
2046,2.0380491507733183
2047,2.0364354317268285
2048,2.032177173658308
2049,2.0290538284107766
