year,event,count
0,DemolitionEvent,9
0,DeathEvent,74
0,RenovationEvent,6294
0,EmploymentEvent,573
0,BirthEvent,186
0,ConstructionEvent,131
0,LeaveParentsEvent,14
0,BirthDayEvent,11222
0,DivorceEvent,41
0,LicenseEvent,1931
0,MoveEvent,667
0,MarriageEvent,77
1,DeathEvent,81
1,DemolitionEvent,4
1,RenovationEvent,6420
1,ConstructionEvent,64
1,MigrationEvent,59
1,MoveEvent,1124
1,EducationEvent,609
1,MarriageEvent,76
1,EmploymentEvent,572
1,BirthEvent,141
1,LeaveParentsEvent,19
1,BirthDayEvent,11272
1,DivorceEvent,39
1,LicenseEvent,544
2,DeathEvent,87
2,DemolitionEvent,2
2,RenovationEvent,6480
2,ConstructionEvent,13
2,MigrationEvent,33
2,MoveEvent,935
2,MarriageEvent,67
2,EducationEvent,37
2,EmploymentEvent,604
2,BirthEvent,171
2,LeaveParentsEvent,33
2,BirthDayEvent,11255
2,DivorceEvent,25
2,LicenseEvent,239
3,DeathEvent,103
3,DemolitionEvent,7
3,RenovationEvent,6489
3,ConstructionEvent,10
3,MigrationEvent,39
3,MoveEvent,888
3,MarriageEvent,65
3,EducationEvent,13
3,EmploymentEvent,511
3,BirthEvent,131
3,LeaveParentsEvent,25
3,BirthDayEvent,11235
3,DivorceEvent,40
3,LicenseEvent,205
4,DeathEvent,110
4,DemolitionEvent,7
4,RenovationEvent,6491
4,ConstructionEvent,6
4,MigrationEvent,13
4,MoveEvent,969
4,MarriageEvent,61
4,EducationEvent,26
4,EmploymentEvent,486
4,BirthEvent,116
4,LeaveParentsEvent,34
4,BirthDayEvent,11215
4,DivorceEvent,34
4,LicenseEvent,191
5,DeathEvent,122
5,DemolitionEvent,5
5,RenovationEvent,6491
5,ConstructionEvent,7
5,MigrationEvent,2
5,MoveEvent,919
5,MarriageEvent,55
5,EducationEvent,35
5,EmploymentEvent,456
5,BirthEvent,103
5,LeaveParentsEvent,28
5,BirthDayEvent,11206
5,DivorceEvent,24
5,LicenseEvent,147
6,DeathEvent,114
6,DemolitionEvent,9
6,RenovationEvent,6494
6,ConstructionEvent,6
6,MigrationEvent,10
6,MoveEvent,1128
6,EducationEvent,63
6,MarriageEvent,60
6,EmploymentEvent,465
6,BirthEvent,109
6,LeaveParentsEvent,24
6,BirthDayEvent,11181
6,DivorceEvent,36
6,LicenseEvent,141
7,DeathEvent,112
7,DemolitionEvent,5
7,RenovationEvent,6492
7,ConstructionEvent,3
7,MigrationEvent,3
7,MoveEvent,966
7,MarriageEvent,77
7,EducationEvent,53
7,EmploymentEvent,464
7,BirthEvent,107
7,LeaveParentsEvent,18
7,BirthDayEvent,11200
7,DivorceEvent,34
7,LicenseEvent,119
8,DeathEvent,112
8,DemolitionEvent,9
8,RenovationEvent,6486
8,ConstructionEvent,3
8,MigrationEvent,3
8,MoveEvent,944
8,EducationEvent,38
8,MarriageEvent,66
8,EmploymentEvent,429
8,BirthEvent,112
8,LeaveParentsEvent,21
8,BirthDayEvent,11201
8,DivorceEvent,23
8,LicenseEvent,94
9,DeathEvent,149
9,DemolitionEvent,8
9,RenovationEvent,6479
9,ConstructionEvent,2
9,MoveEvent,936
9,MarriageEvent,53
9,EducationEvent,87
9,EmploymentEvent,478
9,BirthEvent,91
9,LeaveParentsEvent,18
9,BirthDayEvent,11182
9,DivorceEvent,28
9,LicenseEvent,96
